BPTR,152,#492A7E
BPTR,M1,#8D132C
BPTR,M2,#8D132C
BPTR,M3,#8D132C
BPTR,M4,#8D132C
BPTR,M5,#8D132C
BPTR,X43,#1D1D1B
BPTR,Wizz,#5E0B4F
BPTR,1,#CB5A1C
BPTR,2,#CB5A1C
BPTR,3,#CB5A1C
BPTR,4,#CB5A1C
BPTR,5,#CB5A1C
BPTR,6,#EC6608
BPTR,9,#CB5A1C
BPTR,14,#EC6608
BPTR,15,#EC6608
BPTR,64,#EC6608
BPTR,65,#EC6608
BPTR,67,#EC6608
BPTR,68,#EC6608
BPTR,69,#EC6608
BPTR,66,#EC6608
BPTR,109,#2B3236
BPTR,110,#2B3236
BPTR,111,#2B3236
BPTR,112,#2B3236
BPTR,113,#2B3236
BPTR,120,#2B3236
BPTR,121,#2B3236
BPTR,122,#2B3236
BPTR,852,#2B3236
BPTR,V1,#D73889
BPTR,V2,#2B3236
BPTR,V3,#D73889
BPTR,V43,#2B3236
HRGT,36,#222221
HRGT,X98,#1D1D1B
HRGT,X99,#1D1D1B
HRGT,1,#671D1B
HRGT,1A,#671D1B
HRGT,1B,#671D1B
HRGT,1C,#671D1B
HRGT,1D,#671D1B
HRGT,2A,#671D1B
HRGT,2B,#671D1B
HRGT,3,#671D1B
HRGT,6,#671D1B
HRGT,X6,#671D1B
HRGT,7,#671D1B
HRGT,8,#671D1B
HRGT,21,#671D1B
HRGT,24,#671D1B
HRGT,59,#671D1B
HRGT,620H,#2B3236
HRGT,727H,#2B3236
HRGT,S2,#AC1C1E
HRGT,S3,#AC1C1E
HRGT,S6,#AC1C1E
HRGT,S8,#AC1C1E
HRGT,S36,#2B3236
KDTR,60,#3E853D
KDTR,B1,#008634
KDTR,B2,#008634
KDTR,B3,#008634
KDTR,66,#3F8642
KDTR,662,#4CA3DE
KDTR,DASH,#008834
KDTR,62,#3E853D
KDTR,64,#3E853D
KDTR,67,#3E853D
KDTR,72,#3E853D
KDTR,821,#3E853D
KDTR,862,#3E853D
KDTR,873,#3E853D
KDTR,884,#3E853D
KDTR,948,#008834
KDTR,962,#008834
KDTR,966,#008834
KDTR,K1,#3E853D
KDTR,K2,#3E853D
KDTR,K3,#3E853D
KDTR,K4,#3E853D
KDTR,K5,#3E853D
KDTR,K6,#3E853D
KDTR,K7,#3E853D
KDTR,K9,#3E853D
KDTR,K11,#3E853D
KDTR,K12,#3E853D
KDTR,K14,#3E853D
KDTR,K15,#3E853D
KDTR,K16,#3E853D
KDTR,360,#2B3236
KDTR,440,#2B3236
KDTR,441,#2B3236
KDTR,941,#2B3236
KDTR,943,#2B3236
KDTR,972,#2B3236
KDTR,975,#2B3236
KDTR,A2,#2B3236
KDTR,A54,#2B3236
KDTR,A55,#2B3236
KDTR,B27,#2B3236
KDTR,B28,#2B3236
KDTR,B36,#2B3236
KDTR,B38,#2B3236
KDTR,B46,#2B3236
KDTR,B58,#2B3236
KDTR,B68,#2B3236
KDTR,G21,#2B3236
KDTR,G22,#2B3236
KDTR,G23,#2B3236
KDTR,G24,#2B3236
KDTR,G25,#2B3236
KDTR,G26,#2B3236
KDTR,P23,#2B3236
KDTR,P31,#2B3236
KDTR,P32,#2B3236
KDTR,P34,#2B3236
KDTR,P35,#2B3236
KDTR,P64,#2B3236
KDTR,P66,#2B3236
KDTR,P93,#2B3236
KDTR,P98,#2B3236
KDTR,P99,#2B3236
KDTR,PS20,#2B3236
KDTR,PS21,#2B3236
KDTR,PS22,#2B3236
KDTR,PS23,#2B3236
KDTR,PS24,#2B3236
KDTR,PS25,#2B3236
KDTR,PS26,#2B3236
KDTR,PS27,#2B3236
KDTR,PS28,#2B3236
KDTR,PS29,#2B3236
KDTR,S23,#2B3236
KDTR,S30,#2B3236
KDTR,S31,#2B3236
KDTR,S32,#2B3236
KDTR,S33,#2B3236
KDTR,S34,#2B3236
KDTR,S35,#2B3236
KDTR,S40,#2B3236
KDTR,S64,#2B3236
KDTR,S65,#2B3236
KDTR,S66,#2B3236
KDTR,S67,#2B3236
KDTR,V44,#2B3236
KDTR,V63,#2B3236
KDTR,V64,#2B3236
KDTR,V66,#2B3236
KDTR,V67,#2B3236
LNUD,152,#492A7E
LNUD,X41,#C10E1A
LNUD,1,#275292
LNUD,2,#275292
LNUD,4,#275292
LNUD,6,#275292
LNUD,6A,#275292
LNUD,7,#275292
LNUD,7A,#275292
LNUD,22,#205DA4
LNUD,153,#522583
LNUD,122,#2B3236
ROST,464,#72177A
ROST,X41,#C10E1A
ROST,467,#D3300F
ROST,468,#D3300F
ROST,481,#00839E
ROST,483,#00839E
ROST,457,#00528C
ROST,458,#00528C
ROST,469,#3F8642
ROST,4,#EC6608
ROST,6,#EC6608
ROST,7,#EFB71B
ROST,8,#EFB71B
ROST,10,#EFB71B
ROST,11,#EFB71B
ROST,12,#EFB71B
ROST,13,#EFB71B
ROST,14,#EC6608
ROST,68,#EC6608
ROST,15,#EC6608
ROST,69,#EC6608
ROST,64,#EC6608
ROST,65,#EC6608
ROST,66,#EC6608
ROST,67,#EC6608
ROST,153,#522583
ROST,402,#EFB71B
ROST,403,#EFB71B
ROST,B1,#EFB71B
ROST,B2,#EFB71B
ROST,B4,#EFB71B
ROST,R1,#EFB71B
ROST,R2,#EFB71B
ROST,R3,#EFB71B
ROST,R4,#EFB71B
ROST,R5,#EFB71B
ROST,R6,#EFB71B
ROST,R7,#EFB71B
ROST,R8,#EFB71B
ROST,R9,#EFB71B
ROST,R10,#EFB71B
ROST,126,#2B3236
ROST,700,#2B3236
ROST,708,#2B3236
ROST,709,#2B3236
ROST,711,#2B3236
ROST,718,#2B3236
ROST,726,#2B3236
ROST,733,#2B3236
ROST,743,#2B3236
ROST,768,#2B3236
ROST,771,#2B3236
ROST,781,#2B3236
ROST,791,#2B3236
ROST,805,#2B3236
ROST,808,#2B3236
ROST,825,#2B3236
ROST,828,#2B3236
ROST,829,#2B3236
ROST,833,#2B3236
ROST,837,#2B3236
ROST,839,#2B3236
ROST,841,#2B3236
ROST,842,#2B3236
ROST,844,#2B3236
ROST,850,#2B3236
ROST,862,#2B3236
ROST,864,#2B3236
ROST,865,#2B3236
ROST,881,#2B3236
ROST,V1,#D73889
TPEN,D1,#6F135D
TPEN,D2,#6F135D
TPEN,D3,#6F135D
TPEN,502,#6F135D
TPEN,X1,#6F135D
TPEN,262,#6F135D
TPEN,20,#6F135D
TPEN,21,#6F135D
TPEN,22,#6F135D
TPEN,303,#6F135D
TPEN,304,#6F135D
TPEN,319,#6F135D
TPEN,321,#6F135D
TPEN,323,#6F135D
TPEN,324,#6F135D
TPEN,343,#6F135D
TPEN,356,#6F135D
TPEN,358,#6F135D
TPEN,360,#6F135D
TPEN,396,#6F135D
TPEN,524,#6F135D
TPEN,526,#6F135D
TPEN,530,#6F135D
TPEN,532,#6F135D
TPEN,534,#6F135D
TPEN,536,#6F135D
TPEN,537,#6F135D
TPEN,546,#6F135D
TPEN,547,#6F135D
TPEN,561,#6F135D
TPEN,562,#6F135D
TPEN,563,#6F135D
TPEN,563A,#6F135D
TPEN,574,#6F135D
TPEN,577,#6F135D
TPEN,587,#6F135D
TPEN,FTB,#6F135D
TPEN,K90,#6F135D
TPEN,C25,#2B3236
TPEN,C35,#2B3236
TPEN,C39,#2B3236
TPEN,C40,#2B3236
TPEN,C48,#2B3236
TPEN,K3,#2B3236
TPEN,K4,#2B3236
TPEN,K5,#2B3236
TPEN,KM1,#2B3236
TPEN,S6,#2B3236
TPEN,S7,#2B3236
TPEN,SC1,#2B3236
TPEN,SC2,#2B3236
YCST,840,#193A6B
YCST,843,#193A6B
YCST,A1,#FBBA00
YCST,A2,#FBBA00
YCST,A3,#FBBA00
YCST,CAS,#193A6B
YCST,14,#193A6B
YCST,19,#193A6B
YCST,20,#193A6B
YCST,22,#193A6B
YCST,23,#193A6B
YCST,24,#193A6B
YCST,25,#193A6B
YCST,26,#193A6B
YCST,194,#193A6B
YCST,226R,#2B3236